game,num_bots,is_bot,win,payoff,is_resistance,role,resistance_win,res_bots,spy_bots,seat
c495a40f,0,False,True,1.0,True,Resistance,True,0,0,-1
c495a40f,0,False,False,-1.5,False,Assassin,True,0,0,-1
c495a40f,0,False,True,1.0,True,Resistance,True,0,0,-1
c495a40f,0,False,True,1.0,True,Merlin,True,0,0,-1
c495a40f,0,False,False,-1.5,False,Spy,True,0,0,-1
9d624931,0,False,True,1.5,False,Assassin,False,0,0,-1
9d624931,0,False,False,-1.0,True,Merlin,False,0,0,-1
9d624931,0,False,True,1.5,False,Spy,False,0,0,-1
9d624931,0,False,False,-1.0,True,Resistance,False,0,0,-1
9d624931,0,False,False,-1.0,True,Resistance,False,0,0,-1
a8abca84,0,False,False,-1.5,False,Assassin,True,0,0,-1
a8abca84,0,False,True,1.0,True,Resistance,True,0,0,-1
a8abca84,0,False,False,-1.5,False,Spy,True,0,0,-1
a8abca84,0,False,True,1.0,True,Resistance,True,0,0,-1
a8abca84,0,False,True,1.0,True,Merlin,True,0,0,-1
690d23d9,0,False,True,1.5,False,Assassin,False,0,0,-1
690d23d9,0,False,True,1.5,False,Spy,False,0,0,-1
690d23d9,0,False,False,-1.0,True,Merlin,False,0,0,-1
690d23d9,0,False,False,-1.0,True,Resistance,False,0,0,-1
690d23d9,0,False,False,-1.0,True,Resistance,False,0,0,-1
077e8690,0,False,False,-1.0,True,Resistance,False,0,0,-1
077e8690,0,False,False,-1.0,True,Merlin,False,0,0,-1
077e8690,0,False,False,-1.0,True,Resistance,False,0,0,-1
077e8690,0,False,True,1.5,False,Spy,False,0,0,-1
077e8690,0,False,True,1.5,False,Assassin,False,0,0,-1
b0f06b37,0,False,False,-1.5,False,Spy,True,0,0,-1
b0f06b37,0,False,False,-1.5,False,Assassin,True,0,0,-1
b0f06b37,0,False,True,1.0,True,Merlin,True,0,0,-1
b0f06b37,0,False,True,1.0,True,Resistance,True,0,0,-1
b0f06b37,0,False,True,1.0,True,Resistance,True,0,0,-1
ae557309,0,False,False,-1.0,True,Resistance,False,0,0,-1
ae557309,0,False,False,-1.0,True,Merlin,False,0,0,-1
ae557309,0,False,False,-1.0,True,Resistance,False,0,0,-1
ae557309,0,False,True,1.5,False,Spy,False,0,0,-1
ae557309,0,False,True,1.5,False,Assassin,False,0,0,-1
d6c22465,0,False,True,1.0,True,Merlin,True,0,0,-1
d6c22465,0,False,False,-1.5,False,Spy,True,0,0,-1
d6c22465,0,False,True,1.0,True,Resistance,True,0,0,-1
d6c22465,0,False,False,-1.5,False,Assassin,True,0,0,-1
d6c22465,0,False,True,1.0,True,Resistance,True,0,0,-1
929337da,0,False,True,1.0,True,Merlin,True,0,0,-1
929337da,0,False,False,-1.5,False,Assassin,True,0,0,-1
929337da,0,False,True,1.0,True,Resistance,True,0,0,-1
929337da,0,False,True,1.0,True,Resistance,True,0,0,-1
929337da,0,False,False,-1.5,False,Spy,True,0,0,-1
29b27152,0,False,True,1.5,False,Spy,False,0,0,-1
29b27152,0,False,False,-1.0,True,Merlin,False,0,0,-1
29b27152,0,False,False,-1.0,True,Resistance,False,0,0,-1
29b27152,0,False,True,1.5,False,Assassin,False,0,0,-1
29b27152,0,False,False,-1.0,True,Resistance,False,0,0,-1
a225562a,0,False,False,-1.0,True,Resistance,False,0,0,-1
a225562a,0,False,True,1.5,False,Assassin,False,0,0,-1
a225562a,0,False,False,-1.0,True,Merlin,False,0,0,-1
a225562a,0,False,False,-1.0,True,Resistance,False,0,0,-1
a225562a,0,False,True,1.5,False,Spy,False,0,0,-1
bd2806c5,0,False,False,-1.0,True,Resistance,False,0,0,-1
bd2806c5,0,False,True,1.5,False,Spy,False,0,0,-1
bd2806c5,0,False,True,1.5,False,Assassin,False,0,0,-1
bd2806c5,0,False,False,-1.0,True,Merlin,False,0,0,-1
bd2806c5,0,False,False,-1.0,True,Resistance,False,0,0,-1
3066ca61,0,False,True,1.5,False,Assassin,False,0,0,-1
3066ca61,0,False,True,1.5,False,Spy,False,0,0,-1
3066ca61,0,False,False,-1.0,True,Resistance,False,0,0,-1
3066ca61,0,False,False,-1.0,True,Merlin,False,0,0,-1
3066ca61,0,False,False,-1.0,True,Resistance,False,0,0,-1
42a5831e,0,False,True,1.0,True,Resistance,True,0,0,-1
42a5831e,0,False,False,-1.5,False,Spy,True,0,0,-1
42a5831e,0,False,True,1.0,True,Merlin,True,0,0,-1
42a5831e,0,False,False,-1.5,False,Assassin,True,0,0,-1
42a5831e,0,False,True,1.0,True,Resistance,True,0,0,-1
cafdc956,0,False,True,1.5,False,Spy,False,0,0,-1
cafdc956,0,False,False,-1.0,True,Resistance,False,0,0,-1
cafdc956,0,False,True,1.5,False,Assassin,False,0,0,-1
cafdc956,0,False,False,-1.0,True,Resistance,False,0,0,-1
cafdc956,0,False,False,-1.0,True,Merlin,False,0,0,-1
c5e3149d,0,False,False,-1.0,True,Merlin,False,0,0,-1
c5e3149d,0,False,False,-1.0,True,Resistance,False,0,0,-1
c5e3149d,0,False,True,1.5,False,Spy,False,0,0,-1
c5e3149d,0,False,True,1.5,False,Assassin,False,0,0,-1
c5e3149d,0,False,False,-1.0,True,Resistance,False,0,0,-1
8cc6732a,0,False,True,1.0,True,Merlin,True,0,0,-1
8cc6732a,0,False,True,1.0,True,Resistance,True,0,0,-1
8cc6732a,0,False,False,-1.5,False,Assassin,True,0,0,-1
8cc6732a,0,False,True,1.0,True,Resistance,True,0,0,-1
8cc6732a,0,False,False,-1.5,False,Spy,True,0,0,-1
1d63ba37,0,False,True,1.0,True,Resistance,True,0,0,-1
1d63ba37,0,False,True,1.0,True,Merlin,True,0,0,-1
1d63ba37,0,False,False,-1.5,False,Spy,True,0,0,-1
1d63ba37,0,False,True,1.0,True,Resistance,True,0,0,-1
1d63ba37,0,False,False,-1.5,False,Assassin,True,0,0,-1
88558862,0,False,True,1.5,False,Spy,False,0,0,-1
88558862,0,False,False,-1.0,True,Resistance,False,0,0,-1
88558862,0,False,False,-1.0,True,Merlin,False,0,0,-1
88558862,0,False,False,-1.0,True,Resistance,False,0,0,-1
88558862,0,False,True,1.5,False,Assassin,False,0,0,-1
14859a50,0,False,False,-1.0,True,Merlin,False,0,0,-1
14859a50,0,False,False,-1.0,True,Resistance,False,0,0,-1
14859a50,0,False,True,1.5,False,Spy,False,0,0,-1
14859a50,0,False,True,1.5,False,Assassin,False,0,0,-1
14859a50,0,False,False,-1.0,True,Resistance,False,0,0,-1
26be9580,0,False,False,-1.0,True,Merlin,False,0,0,-1
26be9580,0,False,False,-1.0,True,Resistance,False,0,0,-1
26be9580,0,False,False,-1.0,True,Resistance,False,0,0,-1
26be9580,0,False,True,1.5,False,Assassin,False,0,0,-1
26be9580,0,False,True,1.5,False,Spy,False,0,0,-1
7b40513c,0,False,False,-1.5,False,Spy,True,0,0,-1
7b40513c,0,False,True,1.0,True,Merlin,True,0,0,-1
7b40513c,0,False,False,-1.5,False,Assassin,True,0,0,-1
7b40513c,0,False,True,1.0,True,Resistance,True,0,0,-1
7b40513c,0,False,True,1.0,True,Resistance,True,0,0,-1
31fdfcae,0,False,False,-1.0,True,Resistance,False,0,0,-1
31fdfcae,0,False,True,1.5,False,Spy,False,0,0,-1
31fdfcae,0,False,False,-1.0,True,Merlin,False,0,0,-1
31fdfcae,0,False,False,-1.0,True,Resistance,False,0,0,-1
31fdfcae,0,False,True,1.5,False,Assassin,False,0,0,-1
1970e78f,0,False,False,-1.0,True,Resistance,False,0,0,-1
1970e78f,0,False,False,-1.0,True,Resistance,False,0,0,-1
1970e78f,0,False,True,1.5,False,Assassin,False,0,0,-1
1970e78f,0,False,True,1.5,False,Spy,False,0,0,-1
1970e78f,0,False,False,-1.0,True,Merlin,False,0,0,-1
e4c16c4f,0,False,True,1.5,False,Assassin,False,0,0,-1
e4c16c4f,0,False,False,-1.0,True,Merlin,False,0,0,-1
e4c16c4f,0,False,False,-1.0,True,Resistance,False,0,0,-1
e4c16c4f,0,False,True,1.5,False,Spy,False,0,0,-1
e4c16c4f,0,False,False,-1.0,True,Resistance,False,0,0,-1
0402ece5,0,False,True,1.5,False,Spy,False,0,0,-1
0402ece5,0,False,True,1.5,False,Assassin,False,0,0,-1
0402ece5,0,False,False,-1.0,True,Resistance,False,0,0,-1
0402ece5,0,False,False,-1.0,True,Merlin,False,0,0,-1
0402ece5,0,False,False,-1.0,True,Resistance,False,0,0,-1
38567548,0,False,False,-1.0,True,Resistance,False,0,0,-1
38567548,0,False,False,-1.0,True,Resistance,False,0,0,-1
38567548,0,False,True,1.5,False,Spy,False,0,0,-1
38567548,0,False,False,-1.0,True,Merlin,False,0,0,-1
38567548,0,False,True,1.5,False,Assassin,False,0,0,-1
0f06be1f,0,False,False,-1.5,False,Assassin,True,0,0,-1
0f06be1f,0,False,False,-1.5,False,Spy,True,0,0,-1
0f06be1f,0,False,True,1.0,True,Merlin,True,0,0,-1
0f06be1f,0,False,True,1.0,True,Resistance,True,0,0,-1
0f06be1f,0,False,True,1.0,True,Resistance,True,0,0,-1
99e5f1dc,0,False,False,-1.5,False,Spy,True,0,0,-1
99e5f1dc,0,False,True,1.0,True,Merlin,True,0,0,-1
99e5f1dc,0,False,True,1.0,True,Resistance,True,0,0,-1
99e5f1dc,0,False,True,1.0,True,Resistance,True,0,0,-1
99e5f1dc,0,False,False,-1.5,False,Assassin,True,0,0,-1
28c7c600,0,False,False,-1.0,True,Resistance,False,0,0,-1
28c7c600,0,False,True,1.5,False,Spy,False,0,0,-1
28c7c600,0,False,False,-1.0,True,Resistance,False,0,0,-1
28c7c600,0,False,True,1.5,False,Assassin,False,0,0,-1
28c7c600,0,False,False,-1.0,True,Merlin,False,0,0,-1
a950ac6c,0,False,False,-1.0,True,Merlin,False,0,0,-1
a950ac6c,0,False,False,-1.0,True,Resistance,False,0,0,-1
a950ac6c,0,False,True,1.5,False,Assassin,False,0,0,-1
a950ac6c,0,False,False,-1.0,True,Resistance,False,0,0,-1
a950ac6c,0,False,True,1.5,False,Spy,False,0,0,-1
d371f569,0,False,False,-1.0,True,Merlin,False,0,0,-1
d371f569,0,False,False,-1.0,True,Resistance,False,0,0,-1
d371f569,0,False,True,1.5,False,Assassin,False,0,0,-1
d371f569,0,False,True,1.5,False,Spy,False,0,0,-1
d371f569,0,False,False,-1.0,True,Resistance,False,0,0,-1
66bedabd,0,False,True,1.5,False,Assassin,False,0,0,-1
66bedabd,0,False,False,-1.0,True,Resistance,False,0,0,-1
66bedabd,0,False,False,-1.0,True,Resistance,False,0,0,-1
66bedabd,0,False,True,1.5,False,Spy,False,0,0,-1
66bedabd,0,False,False,-1.0,True,Merlin,False,0,0,-1
b49d4edb,0,False,False,-1.0,True,Merlin,False,0,0,-1
b49d4edb,0,False,False,-1.0,True,Resistance,False,0,0,-1
b49d4edb,0,False,False,-1.0,True,Resistance,False,0,0,-1
b49d4edb,0,False,True,1.5,False,Assassin,False,0,0,-1
b49d4edb,0,False,True,1.5,False,Spy,False,0,0,-1
eb85bb66,0,False,False,-1.5,False,Assassin,True,0,0,-1
eb85bb66,0,False,True,1.0,True,Merlin,True,0,0,-1
eb85bb66,0,False,False,-1.5,False,Spy,True,0,0,-1
eb85bb66,0,False,True,1.0,True,Resistance,True,0,0,-1
eb85bb66,0,False,True,1.0,True,Resistance,True,0,0,-1
f37d9664,0,False,False,-1.5,False,Assassin,True,0,0,-1
f37d9664,0,False,True,1.0,True,Merlin,True,0,0,-1
f37d9664,0,False,True,1.0,True,Resistance,True,0,0,-1
f37d9664,0,False,True,1.0,True,Resistance,True,0,0,-1
f37d9664,0,False,False,-1.5,False,Spy,True,0,0,-1
d25e3210,0,False,False,-1.5,False,Spy,True,0,0,-1
d25e3210,0,False,True,1.0,True,Resistance,True,0,0,-1
d25e3210,0,False,False,-1.5,False,Assassin,True,0,0,-1
d25e3210,0,False,True,1.0,True,Merlin,True,0,0,-1
d25e3210,0,False,True,1.0,True,Resistance,True,0,0,-1
30092d20,0,False,True,1.0,True,Resistance,True,0,0,-1
30092d20,0,False,False,-1.5,False,Assassin,True,0,0,-1
30092d20,0,False,True,1.0,True,Merlin,True,0,0,-1
30092d20,0,False,True,1.0,True,Resistance,True,0,0,-1
30092d20,0,False,False,-1.5,False,Spy,True,0,0,-1
554a3fcc,0,False,True,1.0,True,Resistance,True,0,0,-1
554a3fcc,0,False,False,-1.5,False,Spy,True,0,0,-1
554a3fcc,0,False,True,1.0,True,Merlin,True,0,0,-1
554a3fcc,0,False,True,1.0,True,Resistance,True,0,0,-1
554a3fcc,0,False,False,-1.5,False,Assassin,True,0,0,-1
80f42748,0,False,True,1.0,True,Resistance,True,0,0,-1
80f42748,0,False,False,-1.5,False,Assassin,True,0,0,-1
80f42748,0,False,True,1.0,True,Resistance,True,0,0,-1
80f42748,0,False,False,-1.5,False,Spy,True,0,0,-1
80f42748,0,False,True,1.0,True,Merlin,True,0,0,-1
094c93cd,0,False,False,-1.0,True,Resistance,False,0,0,-1
094c93cd,0,False,False,-1.0,True,Resistance,False,0,0,-1
094c93cd,0,False,False,-1.0,True,Merlin,False,0,0,-1
094c93cd,0,False,True,1.5,False,Spy,False,0,0,-1
094c93cd,0,False,True,1.5,False,Assassin,False,0,0,-1
b443a4c0,0,False,False,-1.5,False,Assassin,True,0,0,-1
b443a4c0,0,False,True,1.0,True,Merlin,True,0,0,-1
b443a4c0,0,False,False,-1.5,False,Spy,True,0,0,-1
b443a4c0,0,False,True,1.0,True,Resistance,True,0,0,-1
b443a4c0,0,False,True,1.0,True,Resistance,True,0,0,-1
1d70259e,0,False,True,1.5,False,Spy,False,0,0,-1
1d70259e,0,False,False,-1.0,True,Resistance,False,0,0,-1
1d70259e,0,False,True,1.5,False,Assassin,False,0,0,-1
1d70259e,0,False,False,-1.0,True,Merlin,False,0,0,-1
1d70259e,0,False,False,-1.0,True,Resistance,False,0,0,-1
dfb266a2,0,False,False,-1.0,True,Merlin,False,0,0,-1
dfb266a2,0,False,True,1.5,False,Assassin,False,0,0,-1
dfb266a2,0,False,False,-1.0,True,Resistance,False,0,0,-1
dfb266a2,0,False,False,-1.0,True,Resistance,False,0,0,-1
dfb266a2,0,False,True,1.5,False,Spy,False,0,0,-1
8735ce78,0,False,False,-1.0,True,Resistance,False,0,0,-1
8735ce78,0,False,True,1.5,False,Assassin,False,0,0,-1
8735ce78,0,False,True,1.5,False,Spy,False,0,0,-1
8735ce78,0,False,False,-1.0,True,Resistance,False,0,0,-1
8735ce78,0,False,False,-1.0,True,Merlin,False,0,0,-1
0089be36,0,False,True,1.5,False,Assassin,False,0,0,-1
0089be36,0,False,False,-1.0,True,Resistance,False,0,0,-1
0089be36,0,False,False,-1.0,True,Resistance,False,0,0,-1
0089be36,0,False,True,1.5,False,Spy,False,0,0,-1
0089be36,0,False,False,-1.0,True,Merlin,False,0,0,-1
ddb6fdb3,0,False,True,1.0,True,Merlin,True,0,0,-1
ddb6fdb3,0,False,False,-1.5,False,Assassin,True,0,0,-1
ddb6fdb3,0,False,True,1.0,True,Resistance,True,0,0,-1
ddb6fdb3,0,False,False,-1.5,False,Spy,True,0,0,-1
ddb6fdb3,0,False,True,1.0,True,Resistance,True,0,0,-1
b6f5e899,0,False,False,-1.0,True,Merlin,False,0,0,-1
b6f5e899,0,False,False,-1.0,True,Resistance,False,0,0,-1
b6f5e899,0,False,True,1.5,False,Spy,False,0,0,-1
b6f5e899,0,False,True,1.5,False,Assassin,False,0,0,-1
b6f5e899,0,False,False,-1.0,True,Resistance,False,0,0,-1
c36fda62,0,False,False,-1.0,True,Resistance,False,0,0,-1
c36fda62,0,False,True,1.5,False,Assassin,False,0,0,-1
c36fda62,0,False,True,1.5,False,Spy,False,0,0,-1
c36fda62,0,False,False,-1.0,True,Merlin,False,0,0,-1
c36fda62,0,False,False,-1.0,True,Resistance,False,0,0,-1
50063651,0,False,False,-1.0,True,Resistance,False,0,0,-1
50063651,0,False,True,1.5,False,Spy,False,0,0,-1
50063651,0,False,True,1.5,False,Assassin,False,0,0,-1
50063651,0,False,False,-1.0,True,Merlin,False,0,0,-1
50063651,0,False,False,-1.0,True,Resistance,False,0,0,-1
254105b0,0,False,False,-1.0,True,Resistance,False,0,0,-1
254105b0,0,False,True,1.5,False,Assassin,False,0,0,-1
254105b0,0,False,True,1.5,False,Spy,False,0,0,-1
254105b0,0,False,False,-1.0,True,Resistance,False,0,0,-1
254105b0,0,False,False,-1.0,True,Merlin,False,0,0,-1
4b06b799,0,False,False,-1.5,False,Assassin,True,0,0,-1
4b06b799,0,False,False,-1.5,False,Spy,True,0,0,-1
4b06b799,0,False,True,1.0,True,Merlin,True,0,0,-1
4b06b799,0,False,True,1.0,True,Resistance,True,0,0,-1
4b06b799,0,False,True,1.0,True,Resistance,True,0,0,-1
89300a69,0,False,False,-1.0,True,Merlin,False,0,0,-1
89300a69,0,False,False,-1.0,True,Resistance,False,0,0,-1
89300a69,0,False,False,-1.0,True,Resistance,False,0,0,-1
89300a69,0,False,True,1.5,False,Assassin,False,0,0,-1
89300a69,0,False,True,1.5,False,Spy,False,0,0,-1
437c0bfe,0,False,False,-1.0,True,Resistance,False,0,0,-1
437c0bfe,0,False,False,-1.0,True,Merlin,False,0,0,-1
437c0bfe,0,False,True,1.5,False,Assassin,False,0,0,-1
437c0bfe,0,False,False,-1.0,True,Resistance,False,0,0,-1
437c0bfe,0,False,True,1.5,False,Spy,False,0,0,-1
d8777656,0,False,True,1.5,False,Spy,False,0,0,-1
d8777656,0,False,True,1.5,False,Assassin,False,0,0,-1
d8777656,0,False,False,-1.0,True,Merlin,False,0,0,-1
d8777656,0,False,False,-1.0,True,Resistance,False,0,0,-1
d8777656,0,False,False,-1.0,True,Resistance,False,0,0,-1
fb9afa01,0,False,True,1.0,True,Resistance,True,0,0,-1
fb9afa01,0,False,True,1.0,True,Resistance,True,0,0,-1
fb9afa01,0,False,True,1.0,True,Merlin,True,0,0,-1
fb9afa01,0,False,False,-1.5,False,Spy,True,0,0,-1
fb9afa01,0,False,False,-1.5,False,Assassin,True,0,0,-1
6970eda8,0,False,False,-1.0,True,Merlin,False,0,0,-1
6970eda8,0,False,False,-1.0,True,Resistance,False,0,0,-1
6970eda8,0,False,True,1.5,False,Spy,False,0,0,-1
6970eda8,0,False,True,1.5,False,Assassin,False,0,0,-1
6970eda8,0,False,False,-1.0,True,Resistance,False,0,0,-1
24714ee5,0,False,True,1.0,True,Resistance,True,0,0,-1
24714ee5,0,False,True,1.0,True,Merlin,True,0,0,-1
24714ee5,0,False,False,-1.5,False,Spy,True,0,0,-1
24714ee5,0,False,True,1.0,True,Resistance,True,0,0,-1
24714ee5,0,False,False,-1.5,False,Assassin,True,0,0,-1
f9661973,0,False,False,-1.0,True,Resistance,False,0,0,-1
f9661973,0,False,False,-1.0,True,Resistance,False,0,0,-1
f9661973,0,False,False,-1.0,True,Merlin,False,0,0,-1
f9661973,0,False,True,1.5,False,Assassin,False,0,0,-1
f9661973,0,False,True,1.5,False,Spy,False,0,0,-1
bef2402f,0,False,True,1.0,True,Merlin,True,0,0,-1
bef2402f,0,False,True,1.0,True,Resistance,True,0,0,-1
bef2402f,0,False,False,-1.5,False,Assassin,True,0,0,-1
bef2402f,0,False,False,-1.5,False,Spy,True,0,0,-1
bef2402f,0,False,True,1.0,True,Resistance,True,0,0,-1
c8353867,0,False,True,1.5,False,Assassin,False,0,0,-1
c8353867,0,False,True,1.5,False,Spy,False,0,0,-1
c8353867,0,False,False,-1.0,True,Resistance,False,0,0,-1
c8353867,0,False,False,-1.0,True,Resistance,False,0,0,-1
c8353867,0,False,False,-1.0,True,Merlin,False,0,0,-1
aef7aaa1,0,False,False,-1.0,True,Resistance,False,0,0,-1
aef7aaa1,0,False,True,1.5,False,Spy,False,0,0,-1
aef7aaa1,0,False,False,-1.0,True,Merlin,False,0,0,-1
aef7aaa1,0,False,False,-1.0,True,Resistance,False,0,0,-1
aef7aaa1,0,False,True,1.5,False,Assassin,False,0,0,-1
866ae9b5,0,False,True,1.0,True,Merlin,True,0,0,-1
866ae9b5,0,False,True,1.0,True,Resistance,True,0,0,-1
866ae9b5,0,False,True,1.0,True,Resistance,True,0,0,-1
866ae9b5,0,False,False,-1.5,False,Spy,True,0,0,-1
866ae9b5,0,False,False,-1.5,False,Assassin,True,0,0,-1
c2cf72fe,0,False,False,-1.5,False,Assassin,True,0,0,-1
c2cf72fe,0,False,False,-1.5,False,Spy,True,0,0,-1
c2cf72fe,0,False,True,1.0,True,Resistance,True,0,0,-1
c2cf72fe,0,False,True,1.0,True,Resistance,True,0,0,-1
c2cf72fe,0,False,True,1.0,True,Merlin,True,0,0,-1
c92c46e8,0,False,True,1.0,True,Resistance,True,0,0,-1
c92c46e8,0,False,False,-1.5,False,Spy,True,0,0,-1
c92c46e8,0,False,True,1.0,True,Resistance,True,0,0,-1
c92c46e8,0,False,True,1.0,True,Merlin,True,0,0,-1
c92c46e8,0,False,False,-1.5,False,Assassin,True,0,0,-1
fefc1714,0,False,True,1.0,True,Merlin,True,0,0,-1
fefc1714,0,False,False,-1.5,False,Assassin,True,0,0,-1
fefc1714,0,False,False,-1.5,False,Spy,True,0,0,-1
fefc1714,0,False,True,1.0,True,Resistance,True,0,0,-1
fefc1714,0,False,True,1.0,True,Resistance,True,0,0,-1
cb9a143b,0,False,True,1.5,False,Spy,False,0,0,-1
cb9a143b,0,False,False,-1.0,True,Resistance,False,0,0,-1
cb9a143b,0,False,False,-1.0,True,Resistance,False,0,0,-1
